area,areaM2,balconyDirection,bedroom,bedroomCount,direction,floorCount,frontage,lat,legal,long,price,priceBil,priceExt,priceMil,pricePerM2,priceVnd,road,toiletCount
92 m²,92.0,0,3 PN,3 phòng,0,0,0,20.979528427124,Hợp đồng mua bán,105.787567138672,"3,4 tỷ",3.4,"~36,96 triệu/m²",0.07557609830892646,36.95652173913044,0.21635976121082817,0,2 phòng
100 m²,100.0,0,0,0,0,0,5 m,20.97924041748047,0,105.74178314208984,20 tỷ,20.0,~200 triệu/m²,0.44445678984911446,200.0,0.35576015919278126,0,0
80 m²,80.0,0,0,0,Tây - Bắc,0,4 m,20.9792404174805,Sổ đỏ,105.74178314209,"16,3 tỷ",16.3,"~203,75 triệu/m²",0.36223639474678343,203.75,0.2127301790918789,0,0
60 m²,60.0,0,0,0,Tây - Bắc,0,5 m,20.9680998887234,Sổ đỏ/ Sổ hồng,105.754988576939,"137,5 triệu/m²",0.0,"~8,25 tỷ",0.0,-0.0166666666666666,0.0012098609467161303,0,0
"75,3 m²",0.0,0,0,0,0,0,0,20.9845655571505,0,105.785019394354,35 tỷ,35.0,"~464,81 triệu/m²",0.7777827159396458,0.0,0.879800132660651,0,0
"301,8 m²",0.0,0,0,0,0,4 tầng,0,20.981019973754883,Sổ đỏ/ Sổ hồng,105.75489807128906,45 tỷ,45.0,"~149,1 triệu/m²",1.0,0.0,0.5408207826978411,0,0
180 m²,180.0,0,0,0,0,4 tầng,9 m,20.980504989624,Sổ đỏ/ Sổ hồng,105.754943847656,"34,5 tỷ",34.5,"~191,67 triệu/m²",0.7666718517366281,191.66666666666663,1.0,0,0
97 m²,97.0,0,3 PN,3 phòng,0,0,0,20.979528427124,Hợp đồng mua bán,105.787567138672,"4,7 tỷ",4.7,"~48,45 triệu/m²",0.10446434523677252,48.45360824742268,0.9363491045406057,0,2 phòng
240 m²,240.0,0,4 PN,4 phòng,Đông - Bắc,4 tầng,12 m,20.97924041748047,Sổ đỏ/ Sổ hồng,105.74178314208984,Thỏa thuận,0.0,0,0.0,-0.0041666666666666,0.0012098609467161303,"13,5 m",4 phòng
92 m²,92.0,Đông - Nam,3 PN,3 phòng,Đông - Nam,0,0,20.979528427124,Hợp đồng mua bán,105.787567138672,"3,4 tỷ",3.4,"~36,96 triệu/m²",0.07557609830892646,36.95652173913044,0.21635976121082817,0,1 phòng
144 m²,144.0,0,0,0,0,5 tầng,6 m,20.9681962178542,Sổ đỏ/ Sổ hồng,105.754989700822,26 tỷ,26.0,"~180,56 triệu/m²",0.577787160285327,180.55555555555557,0.9783797479447631,26 m,0
120 m²,120.0,0,0,0,0,5 tầng,6 m,20.9792404174805,Sổ đỏ,105.74178314209,"22,5 tỷ",22.5,"~187,5 triệu/m²",0.500011110864203,187.5,0.7872698209081211,0,0
"181,1 m²",0.0,0,0,0,0,0,0,20.972412109375,Sổ đỏ/ Sổ hồng,105.76152801513672,185 triệu/m²,0.0,"~33,5 tỷ",0.0,0.0,0.0012098609467161303,11 m,0
238 m²,238.0,0,0,0,0,0,0,20.9839916229248,Sổ đỏ/ Sổ hồng,105.751342773438,45 tỷ,45.0,"~189,08 triệu/m²",1.0,189.07563025210084,0.5408207826978411,20 m,0
88 m²,88.0,Tây - Nam,2 PN,2 phòng,Đông - Nam,0,0,20.986519,Sổ đỏ/ Sổ hồng,105.7864,Thỏa thuận,0.0,0,0.0,-0.0113636363636363,0.0012098609467161303,0,2 phòng
54 m²,54.0,Đông - Nam,2 PN,2 phòng,Tây - Bắc,0,0,20.983591599676,Sổ đỏ/ Sổ hồng,105.772221217823,Thỏa thuận,0.0,0,0.0,-0.0185185185185185,0.0012098609467161303,0,2 phòng
241 m²,241.0,0,0,0,Đông - Nam,3 tầng,0,20.974552154541016,Sổ đỏ/ Sổ hồng,105.75418853759766,33 tỷ,33.0,"~136,93 triệu/m²",0.7333392591275749,136.92946058091286,0.3280906036059622,0,0
31 m²,31.0,0,3 PN,3 phòng,Tây - Bắc,5 tầng,3 m,20.9707610395729,Sổ đỏ/ Sổ hồng,105.769522734091,"6,5 tỷ",6.5,"~209,68 triệu/m²",0.14446345636763627,209.67741935483872,0.5036295821189493,3 m,0
110 m²,110.0,0,0,0,0,0,0,20.9432354,0,105.7567199,82 triệu/m²,0.0,"~9,02 tỷ",0.0,-0.009090909090909,0.0012098609467161303,0,0
57 m²,57.0,0,3 PN,3 phòng,0,3 tầng,"3,8 m",20.9688977397063,Sổ đỏ/ Sổ hồng,105.779783438168,17 tỷ,17.0,"~298,25 triệu/m²",0.3777916046310082,298.2456140350877,0.04445036481679037,8 m,3 phòng
"82,5 m²",0.0,0,0,0,Tây - Bắc,4 tầng,5 m,20.972412109375,Sổ đỏ/ Sổ hồng,105.76152801513672,18 tỷ,18.0,"~218,18 triệu/m²",0.4000133330370436,0.0,0.8365596285501772,0,0
125 m²,125.0,0,6 PN,6 phòng,Đông - Nam,0,19 m,20.9679079780103,Sổ đỏ/ Sổ hồng,105.754878565418,"34,3 tỷ",34.3,"~274,4 triệu/m²",0.762227506055421,274.4,0.015570948523654841,22 m,6 phòng
"212,5 m²",0.0,Tây - Nam,5 PN,5 phòng,Tây - Nam,4 tầng,"8,5 m",20.9836167863075,Sổ đỏ/ Sổ hồng,105.772263484218,168 triệu/m²,0.0,"~35,7 tỷ",0.0,0.0,0.0012098609467161303,30 m,5 phòng
62 m²,62.0,0,0,0,Tây - Bắc,5 tầng,7 m,20.9528064727783,Sổ đỏ lâu dài,105.785003662109,"16,3 tỷ",16.3,"~262,9 triệu/m²",0.36223639474678343,262.9032258064516,0.2127301790918789,0,0
84 m²,84.0,Đông - Nam,3 PN,3 phòng,Tây - Bắc,0,0,20.97723388671875,Sổ đỏ/ Sổ hồng,105.76195526123048,"4,85 tỷ",4.85,"~57,74 triệu/m²",0.10779760449767783,57.73809523809524,0.9002891443388008,0,2 phòng
"67,3 m²",0.0,0,0,0,0,5 tầng,5 m,20.9528064727783,Sổ đỏ/ Sổ hồng,105.785003662109,"14,5 tỷ",14.5,"~215,45 triệu/m²",0.32223728361591963,0.0,0.6454497015135352,0,0
124 m²,124.0,0,3 PN,3 phòng,Đông - Nam,0,0,20.98651885986328,Sổ đỏ/ Sổ hồng,105.7863998413086,Thỏa thuận,0.0,0,0.0,-0.0080645161290322,0.0012098609467161303,0,2 phòng
225 m²,225.0,0,0,0,Tây - Bắc,0,9 m,20.9820671081543,Sổ đỏ/ Sổ hồng,105.755630493164,33 tỷ,33.0,"~146,67 triệu/m²",0.7333392591275749,146.66666666666666,0.3280906036059622,0,0
208 m²,208.0,0,0,0,0,0,0,20.983466388634,0,105.772289647689,"35,1 tỷ",35.1,"~168,75 triệu/m²",0.7800048887802493,168.75,0.8557601591927813,0,0
180 m²,180.0,Đông - Nam,4 PN,4 phòng,Đông - Nam,3 tầng,9 m,20.980504989624,Sổ đỏ/ Sổ hồng,105.754943847656,36 tỷ,36.0,~200 triệu/m²,0.8000044443456812,200.0,0.6394003979819531,15 m,4 phòng
97 m²,97.0,0,4 PN,4 phòng,0,0,0,20.974346160888672,Sổ đỏ/ Sổ hồng,105.75416564941406,"5,9 tỷ",5.9,"~60,82 triệu/m²",0.13113041932401504,60.824742268041234,0.6478694229261681,0,2 phòng
100 m²,100.0,0,0,0,0,4 tầng,5 m,20.9397029876709,Hợp đồng mua bán,105.7872543334961,"9,2 tỷ",9.2,~92 triệu/m²,0.2044621230639319,92.0,0.8870592968985497,0,0
70 m²,70.0,Đông - Nam,4 PN,4 phòng,Đông - Nam,3 tầng,"13,5 m",20.9671845,Sổ đỏ/ Sổ hồng,105.7768401,"16,8 tỷ",16.8,~240 triệu/m²,0.37334725894980114,240.0,0.09253031175252996,11 m,3 phòng
44 m²,44.0,0,0,0,0,2 tầng,4 m,20.9683002797785,Sổ đỏ/ Sổ hồng,105.780077752798,"14,5 tỷ",14.5,"~329,54 triệu/m²",0.32223728361591963,329.54545454545456,0.6454497015135352,9 m,0
"202,5 m²",0.0,0,0,0,Đông - Bắc,0,0,20.9839916229248,Sổ đỏ/ Sổ hồng,105.751342773438,39 tỷ,39.0,"~192,59 triệu/m²",0.8666696295637875,0.0,0.950710192357944,"11,5 m",0
40 m²,40.0,0,4 PN,4 phòng,0,4 tầng,4 m,20.9534591008924,Sổ đỏ/ Sổ hồng,105.739734215342,"4,3 tỷ",4.3,"~107,5 triệu/m²",0.09557565387435835,107.5,0.0,3 m,3 phòng
141 m²,141.0,Đông - Bắc,3 PN,3 phòng,Tây - Nam,0,0,20.974775166829,Hợp đồng mua bán,105.785411790815,"8,2 tỷ",8.2,"~58,16 triệu/m²",0.1822403946578965,58.15602836879432,0.0949500331651628,0,2 phòng
82 m²,82.0,Đông,2 PN,2 phòng,Đông,0,0,20.9673748016357,Sổ đỏ/ Sổ hồng,105.754013061523,"7,3 tỷ",7.3,"~89,02 triệu/m²",0.16224083909246462,89.02439024390245,0.31130979437599093,0,2 phòng
